,StartDate,EndDate,Progress,Duration..in.seconds.,Finished,RecordedDate,DistributionChannel,UserLanguage,consent,Q98_First.Click,Q98_Last.Click,Q98_Page.Submit,Q98_Click.Count,PK_1_1,PK_1_2,PK_1_3,PK_1_4,agree_1,informed_1_1,informed_1_2,informed_1_3,informed_1_4,accurate_1,believable_1,trustworthy_1,factual_1,Q99_First.Click,Q99_Last.Click,Q99_Page.Submit,Q99_Click.Count,PK_1imprint_1,PK_1imprint_2,PK_1imprint_3,PK_1imprint_4,agree_1imprint,informed_1imprint_1,informed_1imprint_2,informed_1imprint_3,informed_1imprint_4,accurate_1imprint,believable_1imprint,trustworthy_1imprint,factual_1imprint,Q121_First.Click,Q121_Last.Click,Q121_Page.Submit,Q121_Click.Count,PK_2imprint_1,PK_2imprint_2,PK_2imprint_3,PK_2imprint_4,agree_2imprint,informed_2imprint_1,informed_2imprint_2,informed_2imprint_3,informed_2imprint_4,informed_2imprint_5,accurate_2imprint,believable_2imprint,trustworthy_2imprint,factual_2imprint,Q122_First.Click,Q122_Last.Click,Q122_Page.Submit,Q122_Click.Count,PK_2_1,PK_2_2,PK_2_3,PK_2_4,agree_2,informed_2_1,informed_2_2,informed_2_3,informed_2_4,informed_2_5,accurate_2,believable_2,trustworthy_2,factual_2,Q123_First.Click,Q123_Last.Click,Q123_Page.Submit,Q123_Click.Count,PK_3_1,PK_3_2,PK_3_3,PK_3_4,agree_3,informed_3_1,informed_3_2,informed_3_3,informed_3_4,accurate_3,believable_3,trustworthy_3,factual_3,Q124_First.Click,Q124_Last.Click,Q124_Page.Submit,Q124_Click.Count,PK_3imprint_1,PK_3imprint_2,PK_3imprint_3,PK_3imprint_4,agree_3imprint,informed_3imprint_1,informed_3imprint_2,informed_3imprint_3,informed_3imprint_4,accurate_3imprint,believable_3imprint,trustworthy_3imprint,factual_3imprint,Q125_First.Click,Q125_Last.Click,Q125_Page.Submit,Q125_Click.Count,PK_4imprint_1,PK_4imprint_2,PK_4imprint_3,PK_4imprint_4,agree_4imprint,informed_4imprint_1,informed_4imprint_2,informed_4imprint_3,informed_4imprint_4,accurate_4imprint,believable_4imprint,trustworthy_4imprint,factual_4imprint,Q126_First.Click,Q126_Last.Click,Q126_Page.Submit,Q126_Click.Count,PK_4_1,PK_4_2,PK_4_3,PK_4_4,agree_4,informed_4_1,informed_4_2,informed_4_3,informed_4_4,accurate_4,believable_4,trustworthy_4,factual_4,election_reg,recall_num,recall_name,useful_rank_1,useful_rank_2,useful_rank_3,useful_rank_4,useful_rank_5,useful_rank_6,useful_rank_6_TEXT,reg_know,EPE_1,EPE_2,EPE_3,EPE_4,EPE_5,open_q,partyID,partyID_12_TEXT,age,gender,education,education_6_TEXT,general_confidence_1,general_confidence_2,general_confidence_3,general_confidence_4,general_confidence_5,general_confidence_6,general_confidence_7,general_confidence_8,general_confidence_9,democracy,political_interest,external_efficacy,internal_efficacy,SM_use,SM_frequency_1,Training.condition,Advert.1,Advert.2,Advert.3,Advert.4,Time.taken,Fluent.languages,age_sample,sex_sample,Ethnicity.simplified,Country.of.birth,Country.of.residence,Nationality,Language,Student.status,Employment.status
126,27/03/2024 04:30,27/03/2024 04:37,100,368,TRUE,27/03/2024 04:37,anonymous,EN,I agree to the above statements and consent to participating in this study,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,17.294,17.294,17.298,1,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,3,3,3,2,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,10.412,10.412,10.415,1,Strongly disagree,Strongly agree,Strongly disagree,Slightly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,2,6,3,3,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,7.324,7.324,7.327,1,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,7,7,7,4,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,34.9,34.9,34.903,1,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,2,3,3,1,Mostly sufficient,3,"Breaking Barriers Alliance,Campaign for a better Britain",3,1,4,2,5,6,,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,I do not identify with any political party,,31,Female,"Postgraduate (e.g. M.Sc, Ph.D)",,Strongly disagree,Somewhat disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Strongly agree,Very dissatisfied,Not at all interested,Not at all ,A little ,1/2 hour to 1 hour ,"More than five times a day	",0,1,0,1,0,376,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
127,27/03/2024 05:01,27/03/2024 05:21,100,1154,TRUE,27/03/2024 05:21,anonymous,EN,I agree to the above statements and consent to participating in this study,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,17.939,17.939,17.943,1,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,5,5,5,4,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,6.162,22.642,22.645,2,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,5,5,4,4,355.127,355.127,355.133,1,Slightly disagree,Neither agree nor disagree,Slightly disagree,Slightly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,5,5,4,5,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,3.974,16.486,16.49,2,Disagree,Agree,Disagree,Slightly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4,4,4,4,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,Slightly insufficient,Not sure,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",1,2,5,3,4,6,,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,,Scottish National Party (SNP),,47,Male,"Undergraduate University (e.g. BA, B.Sc, B.Ed)",,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Very dissatisfied,Fairly interested,Not at all ,A little ,More than 2 hours ,2-5 times a day,1,1,0,0,1,1163,"English, Scots",46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
128,27/03/2024 04:46,27/03/2024 04:55,100,519,TRUE,27/03/2024 04:55,anonymous,EN,I agree to the above statements and consent to participating in this study,21.573,21.573,21.575,1,Neither agree nor disagree,Agree,Neither agree nor disagree,Slightly agree,Disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,1,2,1,1,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,11.006,11.006,11.007,1,Disagree,Agree,Disagree,Disagree,Somewhat agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,5,6,2,6,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,16.924,16.924,16.927,1,Agree,Neither agree nor disagree,Slightly agree,Slightly agree,Neither agree nor disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,2,2,2,2,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,63.751,63.751,63.752,1,Strongly disagree,Agree,Strongly disagree,Slightly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,6,7,5,4,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,Completely insufficient,0,Campaign for a better Britain,1,4,2,5,3,6,,There are no regulatory controls on any type of political advertising during UK elections,Disagree,Disagree,Disagree,Disagree,Strongly agree,"how much the campaign cost maybe, and from where these money comes from(our taxes?)",I do not identify with any political party,,37,Female,"Postgraduate (e.g. M.Sc, Ph.D)",,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Very dissatisfied,Not very interested,Not at all ,Not at all ,Less than 1/2 hour ,"More than five times a day	",1,0,1,0,1,524,"English, Bulgarian",36,Female,White,Bulgaria,United Kingdom,Bulgaria,Bulgarian,DATA_EXPIRED,DATA_EXPIRED
129,27/03/2024 04:13,27/03/2024 04:29,100,948,TRUE,27/03/2024 04:29,anonymous,EN,I agree to the above statements and consent to participating in this study,58.693,58.693,58.699,1, Disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,6,6,6,5,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,15.974,72.095,72.098,2,Slightly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,7,6,6,6,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,12.955,40.92,40.925,2,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Agree,6,7,7,4,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,89.785,89.785,89.789,1,Slightly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,6,6,6,7,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,No opinion/not sure,Not sure,"Campaign for a better Britain,All Together ",3,4,1,2,5,6,,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Independently fact checked,I do not identify with any political party,,67,Male,"Undergraduate University (e.g. BA, B.Sc, B.Ed)",,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Very dissatisfied,Fairly interested,A little ,Not at all ,Less than 1/2 hour ,Less than once a week,0,0,1,0,1,956,English,66,Male,Asian,Uganda,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
130,27/03/2024 04:35,27/03/2024 04:46,100,667,TRUE,27/03/2024 04:47,anonymous,EN,I agree to the above statements and consent to participating in this study,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,39.029,39.029,39.031,1,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Strongly agree,Somewhat agree,Agree,Neither agree nor disagree,4,5,4,5,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,32.031,32.031,32.034,1,Slightly disagree,Agree,Slightly disagree,Strongly agree,Agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Strongly disagree,5,5,5,6,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,28.466,28.466,28.469,1,Slightly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Agree,Somewhat disagree,Disagree,Somewhat agree,3,4,1,3,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,60.251,60.251,60.254,1,Disagree,Agree,Disagree,Slightly agree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat disagree,4,5,4,1,Mostly insufficient,2,"Common Sense Collective,Campaign for a better Britain",1,2,4,3,5,6,,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Information about funders of campaigns,Labour,,38,Female,"Postgraduate (e.g. M.Sc, Ph.D)",,Disagree,Disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,A little dissatisfied,Fairly interested,Not at all ,A little ,1/2 hour to 1 hour ,Never,0,1,0,1,0,674,English,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
131,27/03/2024 04:56,27/03/2024 05:05,100,558,TRUE,27/03/2024 05:05,anonymous,EN,I agree to the above statements and consent to participating in this study,15.369,15.369,15.374,1,Slightly agree,Strongly agree,Slightly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,5,5,3,1,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,5.093,25.652,25.655,2,Slightly disagree,Strongly agree,Slightly disagree,Agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,3,2,2,1,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,20.279,20.279,20.282,1,Disagree,Slightly agree,Disagree,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Agree,6,6,6,7,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,34.538,34.538,34.543,1,Slightly disagree,Slightly agree,Neither agree nor disagree,Slightly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,5,4,4,4,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,Slightly insufficient,2,Speak Freely Inc.,2,1,4,5,3,6,,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,none,Labour,,29,Female,"Undergraduate University (e.g. BA, B.Sc, B.Ed)",,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,A little dissatisfied,Not very interested,Not at all ,A little ,Less than 1/2 hour ,"Once every couple of days	",1,0,1,0,1,567,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
132,27/03/2024 04:41,27/03/2024 04:49,100,529,TRUE,27/03/2024 04:49,anonymous,EN,I agree to the above statements and consent to participating in this study,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,18.708,20.101,20.118,2,Slightly disagree,Agree,Slightly disagree,Agree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,3,3,3,2,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,19.272,20.035,20.042,2,Slightly disagree,Agree,Slightly disagree,Agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,3,3,2,2,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,14.513,16.63,16.639,2,Strongly disagree,Slightly agree,Strongly disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,5,5,5,5,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,25.192,26.045,26.053,2,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Somewhat agree,Agree,Agree,Disagree,Agree,5,5,5,5,Mostly insufficient,2,"Common Sense Collective,Breaking Barriers Alliance",2,1,3,4,5,6,,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,Conservative,,54,Male,"A-level, or equivalent",,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Fairly satisfied,Slightly interested,A little ,A little ,Less than 1/2 hour ,"Once a day	",0,1,0,1,0,535,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
133,27/03/2024 05:02,27/03/2024 05:10,100,440,TRUE,27/03/2024 05:10,anonymous,EN,I agree to the above statements and consent to participating in this study,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,20.95,20.95,20.963,1,Agree,Strongly agree,Agree,Strongly agree,Somewhat disagree,Strongly agree,Agree,Disagree,Agree,2,2,2,1,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,24.812,24.812,24.824,1,Disagree,Strongly agree,Disagree,Strongly agree,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree,Disagree,Strongly disagree,5,6,5,3,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,16.559,16.559,16.566,1,Disagree,Agree,Strongly disagree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,6,7,6,6,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,55.204,55.204,55.215,1,Disagree,Agree,Slightly disagree,Agree,Somewhat agree,Strongly agree,Disagree,Agree,Disagree,4,5,4,5,No opinion/not sure,1,Common Sense Collective,4,2,1,3,5,6,,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",Agree,Somewhat agree,Agree,Agree,Strongly agree,who posted it and who is behind it,Labour,,50,Male,"GCSE level, or equivalent",,Strongly disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Strongly agree,Very dissatisfied,Slightly interested,Not at all ,A moderate amount  ,Less than 1/2 hour ,"Once every couple of days	",0,1,0,1,0,448,English,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
134,27/03/2024 06:34,27/03/2024 06:50,100,958,TRUE,27/03/2024 06:50,anonymous,EN,I agree to the above statements and consent to participating in this study,43.353,43.353,43.36,1,Neither agree nor disagree,Agree,Neither agree nor disagree,Slightly agree,Strongly agree,Somewhat agree,Agree,Somewhat disagree,Agree,6,6,6,3,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,63.746,63.746,63.75,1,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,5,5,4,3,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,196.36,196.36,196.363,1,Slightly disagree,Neither agree nor disagree,Slightly disagree,Agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Agree,5,6,6,6,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,58.922,58.922,58.927,1,Disagree,Agree,Disagree,Slightly agree,Agree,Agree,Agree,Disagree,Agree,5,5,5,2,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,Mostly insufficient,2,"Common Sense Collective,Campaign for a better Britain",2,3,4,1,5,6,,Not sure,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,"Named sources, fact checked ",Labour,,71,Female,"Undergraduate University (e.g. BA, B.Sc, B.Ed)",,Neither agree nor disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,A little dissatisfied,Very interested ,A little ,A little ,1/2 hour to 1 hour ,Never,0,0,1,0,1,967,English,71,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
135,27/03/2024 04:42,27/03/2024 04:56,100,827,TRUE,27/03/2024 04:56,anonymous,EN,I agree to the above statements and consent to participating in this study,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,27.921,30.108,30.113,2,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,7,7,6,6,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,15.974,57.322,57.325,4,Strongly disagree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Strongly disagree,7,7,7,7,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,22.455,24.004,24.007,2,Strongly disagree,Slightly disagree,Strongly disagree,Slightly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,7,7,7,7,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,111.615,113.26,113.267,2,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,6,7,7,5,Mostly insufficient,1,Campaign for a better Britain,3,1,4,2,5,6,Campaigners for democracy in the UK,Not sure,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Its source & who has funded it. Funding of political parties is far too opaque in this country.,Labour,,60,Female,"Postgraduate (e.g. M.Sc, Ph.D)",,Strongly disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Very dissatisfied,Very interested ,Not at all ,A little ,1 to 2 hours ,2-5 times a day,0,1,0,1,0,834,English,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
136,27/03/2024 05:11,27/03/2024 05:30,100,1157,TRUE,27/03/2024 05:30,anonymous,EN,I agree to the above statements and consent to participating in this study,33.375,51.292,51.299,3,Agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,5,5,4,7,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,34.546,83.163,83.17,6,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,4,4,3,7,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,42.777,94.62,94.625,5,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,6,6,4,7,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,103.866,108.439,108.446,3,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,5,7,5,5,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,Mostly insufficient,2,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",1,5,3,2,4,6,,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,who commissioned the post. who financed the post.was the post inline with the legal rules,Sinn Féin,,59,Male,"Postgraduate (e.g. M.Sc, Ph.D)",,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Very dissatisfied,Very interested ,A great deal ,A lot ,1 to 2 hours ,"More than five times a day	",1,0,1,0,1,1167,English,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
137,27/03/2024 04:21,27/03/2024 04:55,100,2001,TRUE,27/03/2024 04:55,anonymous,EN,I agree to the above statements and consent to participating in this study,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,41.8,41.8,41.802,1,Agree,Agree,Slightly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,2,1,1,1,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,89.643,89.643,89.645,1,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat disagree,Strongly disagree,4,4,4,1,52.439,52.439,52.44,1,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,7,7,7,7,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,127.008,127.008,127.009,1,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,4,4,4,1,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,Slightly insufficient,1,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",1,3,4,2,5,6,,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,I do not identify with any political party,,45,Female,"GCSE level, or equivalent",,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,A little dissatisfied,Slightly interested,A little ,Not at all ,Less than 1/2 hour ,"Once every couple of days	",0,1,0,0,1,2009,English,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
138,27/03/2024 05:47,27/03/2024 05:56,100,567,TRUE,27/03/2024 05:56,anonymous,EN,I agree to the above statements and consent to participating in this study,18.792,18.792,18.809,1,Agree,Strongly agree,Slightly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,4,5,3,2,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,21.88,21.88,21.891,1,Slightly disagree,Strongly agree,Disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,3,3,3,2,NA,NA,NA,NA,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,8.442,8.442,8.451,1,Agree,Strongly agree,Slightly agree,Strongly agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,5,5,5,5,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,14.85,14.85,14.86,1,Strongly disagree,Slightly agree,Strongly disagree,Slightly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4,4,4,4,Mostly sufficient,0,,2,4,3,1,5,6,,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,unknown,Liberal Democrat,,70,Female,"Postgraduate (e.g. M.Sc, Ph.D)",,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Fairly satisfied,Not very interested,A moderate amount  ,A little ,"None, No time at all ","Once a day	",0,0,1,1,0,579,English,69,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
