"","id","Advert.1","Advert.2","Advert.3","Advert.4","Training.condition","advert","version","PK","informed","PG_value","agree_value","trustworthy_value","believable_value","accurate_value","factual_value","recall_num","recall_correct","CSC","BBA","SFI","CBB","FF","TPM","VFP","AT","political_interest","reg_know","SM_use","SM_frequency_1","partyID","age","gender","education","Ethnicity.simplified","PK1_value","PK2_value","PK3_value","PK4_value","informed2_value","informed3_value","informed4_value","recall_name","useful_rank_1"
"44",11,"0","1","1","0","1","advert.4","0",6,4.33333333333333,7,3,5,3,4,5,"2","correct","0","1","0","1","0","0","0","0",2,"There are no regulatory controls on any type of political advertising during UK elections","Less than 1/2 hour ","More than five times a day	","I do not identify with any political party",50,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,7,6,6,5,3,5,"Breaking Barriers Alliance,Campaign for a better Britain",4
"45",12,"1","0","1","0","1","advert.1","1",6.25,4.66666666666667,7,3,2,2,3,3,"3","incorrect","1","0","1","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",65,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,6,6,7,6,2,6,"Common Sense Collective,Speak Freely Inc.",3
"46",12,"1","0","1","0","1","advert.2","0",6,2.33333333333333,6,3,1,2,2,5,"3","incorrect","1","0","1","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",65,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,7,5,7,2,2,3,"Common Sense Collective,Speak Freely Inc.",3
"47",12,"1","0","1","0","1","advert.3","1",4.75,7,5,7,6,6,5,6,"3","incorrect","1","0","1","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",65,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3,6,4,6,7,7,7,"Common Sense Collective,Speak Freely Inc.",3
"48",12,"1","0","1","0","1","advert.4","0",5,6,6,4,4,4,3,2,"3","incorrect","1","0","1","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",65,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,6,3,6,6,6,6,"Common Sense Collective,Speak Freely Inc.",3
"49",13,"0","1","0","1","1","advert.1","0",5.75,4,6,5,4,5,5,2,"1","incorrect","0","0","1","0","0","0","0","0",4,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Green Party",30,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",5,6,5,7,4,3,5,"Speak Freely Inc.",2
"50",13,"0","1","0","1","1","advert.2","1",4.5,4.33333333333333,6,5,4,5,4,2,"1","incorrect","0","0","1","0","0","0","0","0",4,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Green Party",30,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",4,5,4,5,4,4,5,"Speak Freely Inc.",2
"51",13,"0","1","0","1","1","advert.3","0",5.5,3.33333333333333,6,6,5,6,4,6,"1","incorrect","0","0","1","0","0","0","0","0",4,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Green Party",30,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",6,6,5,5,3,3,4,"Speak Freely Inc.",2
"52",13,"0","1","0","1","1","advert.4","1",4,3.66666666666667,6,4,4,4,4,1,"1","incorrect","0","0","1","0","0","0","0","0",4,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Green Party",30,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",3,5,3,5,4,3,4,"Speak Freely Inc.",2
"53",14,"0","1","1","0","0","advert.1","0",4.5,4.33333333333333,7,6,4,6,5,6,"0","incorrect","1","0","0","0","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","More than five times a day	","Labour",64,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",3,6,2,7,4,4,5,"Common Sense Collective",4
"54",14,"0","1","1","0","0","advert.2","1",6.75,4.33333333333333,7,6,5,6,5,6,"0","incorrect","1","0","0","0","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","More than five times a day	","Labour",64,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",7,7,6,7,4,4,5,"Common Sense Collective",4
"55",14,"0","1","1","0","0","advert.3","1",4,5.33333333333333,6,7,6,7,6,6,"0","incorrect","1","0","0","0","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","More than five times a day	","Labour",64,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",2,6,2,6,5,5,6,"Common Sense Collective",4
"56",14,"0","1","1","0","0","advert.4","0",4,6,6,6,5,6,5,7,"0","incorrect","1","0","0","0","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","More than five times a day	","Labour",64,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",2,6,2,6,6,6,6,"Common Sense Collective",4
"57",15,"1","0","1","0","0","advert.1","1",5.25,6.33333333333333,6,5,4,5,4,3,"2","correct","0","1","1","0","0","0","0","0",4,"Not sure","1/2 hour to 1 hour ","2-5 times a day","Green Party",60,"Female","A-level, or equivalent","White",5,6,4,6,6,7,6,"Breaking Barriers Alliance,Speak Freely Inc.",2
"58",15,"1","0","1","0","0","advert.2","0",5.25,4.66666666666667,6,5,4,5,5,4,"2","correct","0","1","1","0","0","0","0","0",4,"Not sure","1/2 hour to 1 hour ","2-5 times a day","Green Party",60,"Female","A-level, or equivalent","White",5,6,4,6,5,4,5,"Breaking Barriers Alliance,Speak Freely Inc.",2
"59",15,"1","0","1","0","0","advert.3","1",5.75,5.66666666666667,6,5,4,5,5,4,"2","correct","0","1","1","0","0","0","0","0",4,"Not sure","1/2 hour to 1 hour ","2-5 times a day","Green Party",60,"Female","A-level, or equivalent","White",6,6,5,6,5,6,6,"Breaking Barriers Alliance,Speak Freely Inc.",2
"60",15,"1","0","1","0","0","advert.4","0",4.5,6,6,6,4,5,5,5,"2","correct","0","1","1","0","0","0","0","0",4,"Not sure","1/2 hour to 1 hour ","2-5 times a day","Green Party",60,"Female","A-level, or equivalent","White",3,6,3,6,6,6,6,"Breaking Barriers Alliance,Speak Freely Inc.",2
"61",16,"0","1","1","0","1","advert.1","0",6,6,6,2,3,3,3,3,"3","incorrect","1","1","0","1","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","Once a week	","Green Party",55,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",6,6,6,6,6,6,6,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",3
"62",16,"0","1","1","0","1","advert.2","1",4,5,5,5,4,5,5,5,"3","incorrect","1","1","0","1","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","Once a week	","Green Party",55,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",2,6,2,6,6,6,3,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",3
"63",16,"0","1","1","0","1","advert.3","1",4.5,4.33333333333333,4,6,4,4,4,5,"3","incorrect","1","1","0","1","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","Once a week	","Green Party",55,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",3,6,3,6,5,3,5,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",3
"64",16,"0","1","1","0","1","advert.4","0",4,3.33333333333333,4,4,4,3,4,4,"3","incorrect","1","1","0","1","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","Once a week	","Green Party",55,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",3,4,4,5,5,2,3,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",3
"65",17,"0","1","0","1","1","advert.1","0",4.25,2,6,6,5,6,6,3,"2","correct","1","1","1","1","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1 to 2 hours ","Never","Labour",43,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,6,2,7,2,2,2,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",3
"66",17,"0","1","0","1","1","advert.2","1",4,4,6,6,4,5,5,3,"2","correct","1","1","1","1","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1 to 2 hours ","Never","Labour",43,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,6,2,6,6,3,3,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",3
"67",17,"0","1","0","1","1","advert.3","0",3.75,1.33333333333333,5,6,5,6,6,5,"2","correct","1","1","1","1","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1 to 2 hours ","Never","Labour",43,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,6,1,6,2,1,1,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",3
