"","id","Training.condition","Advert.1","Advert.2","Advert.3","Advert.4","election_reg","recall_num","recall_correct","name_correct","name_incorrect","CSC","BBA","SFI","CBB","FF","TPM","VFP","AT","useful_rank_1","useful_rank_2","useful_rank_3","useful_rank_4","useful_rank_5","useful_rank_6","useful_rank_6_TEXT","reg_know","EPE_1","EPE_2","EPE_3","EPE_4","general_confidence_1","general_confidence_2","general_confidence_3","general_confidence_4","general_confidence_5","general_confidence_6","general_confidence_7","general_confidence_8","general_confidence_9","democracy","political_interest","external_efficacy","internal_efficacy","SM_use","SM_frequency_1","partyID","age","gender","education","Ethnicity.simplified","EPE_mean","political_trust","political_mistrust","political_cynicism"
"11",11,"1","0","1","1","0",2,"2","correct",2,0,"0","1","0","1","0","0","0","0",4,5,1,2,3,6,"","There are no regulatory controls on any type of political advertising during UK elections",3,2,4,4,2,2,2,1,4,2,6,6,6,1,2,2,4,"Less than 1/2 hour ","More than five times a day	","I do not identify with any political party",50,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.25,2,2.33333333333333,6
"12",12,"1","1","0","1","0",5,"3","incorrect",2,0,"1","0","1","0","0","0","0","0",3,1,4,5,2,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,6,5,5,2,4,3,5,3,6,5,6,5,3,5,2,3,"Less than 1/2 hour ","2-5 times a day","Labour",65,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5.25,3,4.66666666666667,5.33333333333333
"13",13,"1","0","1","0","1",1,"1","incorrect",1,0,"0","0","1","0","0","0","0","0",2,3,1,5,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,3,4,3,3,3,4,6,5,5,5,5,2,4,2,2,"Less than 1/2 hour ","Once a day	","Green Party",30,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",3.25,3,5,5
"14",14,"0","0","1","1","0",2,"0","incorrect",1,0,"1","0","0","0","0","0","0","0",4,2,3,5,1,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",6,6,5,5,2,4,4,5,4,5,7,7,7,1,4,1,2,"1/2 hour to 1 hour ","More than five times a day	","Labour",64,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",5.5,3.33333333333333,4.66666666666667,7
"15",15,"0","1","0","1","0",2,"2","correct",2,0,"0","1","1","0","0","0","0","0",2,1,5,4,3,6,"","Not sure",4,5,4,5,1,1,1,5,5,5,7,7,7,1,4,1,2,"1/2 hour to 1 hour ","2-5 times a day","Green Party",60,"Female","A-level, or equivalent","White",4.5,1,5,7
"16",16,"1","0","1","1","0",3,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",3,1,4,5,2,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,4,5,6,2,4,3,1,3,2,4,5,3,2,2,2,3,"1/2 hour to 1 hour ","Once a week	","Green Party",55,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",4.75,3,2,4
"17",17,"1","0","1","0","1",1,"2","correct",4,0,"1","1","1","1","0","0","0","0",3,1,4,2,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",6,6,6,6,3,2,2,2,2,6,6,7,6,1,4,1,2,"1 to 2 hours ","Never","Labour",43,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,2.33333333333333,3.33333333333333,6.33333333333333
"18",18,"1","0","1","0","1",5,"3","incorrect",3,0,"1","1","1","0","0","0","0","0",3,4,2,1,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",4,2,2,4,5,6,6,2,2,3,2,3,1,3,4,3,3,"Less than 1/2 hour ","Never","Conservative",76,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3,5.66666666666667,2.33333333333333,2
"19",20,"1","1","0","1","0",1,"4","incorrect",2,1,"0","0","1","1","0","1","0","0",5,1,4,3,2,6,"","Not sure",2,2,3,3,3,4,2,1,1,4,5,6,6,3,4,2,1,"1/2 hour to 1 hour ","Once a day	","Conservative",72,"Male","GCSE level, or equivalent","White",2.5,3,2,5.66666666666667
"20",21,"1","0","1","0","1",4,"4","incorrect",1,0,"0","0","0","1","0","0","0","0",5,4,2,3,6,1,"easily influences people","Not sure",4,4,4,4,2,4,2,4,1,1,4,6,4,2,4,1,1,"Less than 1/2 hour ","Never","Conservative",76,"Male","GCSE level, or equivalent","White",4,2.66666666666667,2,4.66666666666667
"21",22,"1","1","0","1","0",6,"Not sure","incorrect",3,0,"1","1","0","1","0","0","0","0",2,4,1,3,6,5,"MP's, to learn public viewpoints / opinions","Not sure",2,2,4,5,3,3,3,1,1,1,5,5,5,2,1,2,1,"None, No time at all ","Never","I do not identify with any political party",39,"Female","A-level, or equivalent","White",3.25,3,1,5
"22",23,"1","1","0","0","1",2,"1","incorrect",4,0,"1","1","1","1","0","0","0","0",1,4,5,3,2,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,3,5,2,4,4,4,3,5,5,5,6,6,3,2,3,3,"None, No time at all ","2-5 times a day","Conservative",72,"Female","GCSE level, or equivalent","White",3.5,4,4.33333333333333,5.66666666666667
"23",24,"0","0","1","1","0",2,"Not sure","incorrect",3,0,"0","1","1","1","0","0","0","0",1,2,3,5,6,4,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,2,3,2,2,2,2,2,2,2,6,6,7,3,2,1,1,"Less than 1/2 hour ","More than five times a day	","Conservative",40,"Female","A-level, or equivalent","White",2.25,2,2,6.33333333333333
"24",25,"0","0","1","1","0",3,"Not sure","incorrect",2,0,"1","0","1","0","0","0","0","0",3,2,5,4,1,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",4,3,4,4,3,5,4,1,4,6,4,4,5,3,3,2,3,"Less than 1/2 hour ","Once a day	","Labour",77,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.75,4,3.66666666666667,4.33333333333333
"25",26,"0","1","0","1","0",1,"0","incorrect",4,0,"1","1","1","1","0","0","0","0",5,1,3,4,2,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,2,4,5,3,3,5,4,4,3,4,4,2,3,1,1,"Less than 1/2 hour ","Once a day	","Conservative",37,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,3.66666666666667,4.33333333333333,3.66666666666667
"26",27,"1","1","0","1","0",2,"0","incorrect",2,0,"1","0","0","1","0","0","0","0",2,1,3,4,5,6,"","Not sure",5,5,3,5,2,2,2,3,2,2,7,7,7,3,3,1,2,"Less than 1/2 hour ","More than five times a day	","Labour",40,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",4.5,2,2.33333333333333,7
"27",28,"1","1","0","1","0",1,"4","incorrect",4,0,"1","1","1","1","0","0","0","0",2,4,1,3,5,6,"","Not sure",5,5,5,5,2,2,2,5,3,3,5,6,7,2,4,1,1,"1 to 2 hours ","2-5 times a day","Labour",44,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",5,2,3.66666666666667,6
"28",29,"0","1","0","1","0",2,"2","correct",4,0,"1","1","1","1","0","0","0","0",3,4,2,1,5,6,"","Not sure",4,4,6,5,1,1,1,3,7,7,6,7,7,1,3,1,2,"Less than 1/2 hour ","Once a day	","Other, please specify___________",64,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.75,1,5.66666666666667,6.66666666666667
"29",30,"1","1","0","1","0",4,"3","incorrect",3,0,"1","0","1","1","0","0","0","0",3,5,4,1,2,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",1,1,1,4,1,1,1,1,1,1,7,7,7,1,2,1,1,"Less than 1/2 hour ","Never","I do not identify with any political party",40,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",1.75,1,1,7
"30",31,"1","0","1","1","0",5,"0","incorrect",1,0,"0","1","0","0","0","0","0","0",3,2,4,1,5,6,"","Not sure",3,3,3,4,3,4,3,1,2,3,5,5,5,2,2,2,2,"Less than 1/2 hour ","2-5 times a day","Conservative",66,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.25,3.33333333333333,2,5
"31",33,"1","1","0","0","1",3,"0","incorrect",1,0,"0","0","0","1","0","0","0","0",1,4,3,2,5,6,"","Not sure",5,5,3,5,2,3,3,3,2,3,4,5,6,3,3,2,2,"Less than 1/2 hour ","2-5 times a day","Conservative",55,"Female","A-level, or equivalent","White",4.5,2.66666666666667,2.66666666666667,5
"32",34,"0","0","1","0","1",3,"0","incorrect",2,0,"0","0","1","1","0","0","0","0",2,1,3,5,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",1,2,4,3,2,1,2,2,1,3,5,7,6,1,1,2,2,"Less than 1/2 hour ","More than five times a day	","Liberal Democrat",39,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2.5,1.66666666666667,2,6
"33",35,"0","1","0","0","1",5,"1","incorrect",1,0,"0","0","0","1","0","0","0","0",1,2,4,3,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,5,4,4,6,4,3,5,4,4,5,4,5,3,4,2,2,"1/2 hour to 1 hour ","Once a week	","Conservative",45,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.25,4.33333333333333,4.33333333333333,4.66666666666667
"34",36,"0","0","1","0","1",4,"2","correct",2,0,"0","0","1","1","0","0","0","0",1,2,3,4,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",1,2,2,5,1,1,3,3,5,4,7,7,7,2,3,2,2,"Less than 1/2 hour ","2-5 times a day","Labour",44,"Female","A-level, or equivalent","White",2.5,1.66666666666667,4,7
"35",37,"1","1","0","0","1",5,"3","incorrect",2,0,"1","0","0","1","0","0","0","0",1,2,3,4,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,4,5,5,5,4,5,2,3,5,6,5,5,2,3,2,2,"1/2 hour to 1 hour ","2-5 times a day","Liberal Democrat",68,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4.25,4.66666666666667,3.33333333333333,5.33333333333333
"36",38,"1","0","1","0","1",3,"3","incorrect",2,1,"0","0","1","1","0","1","0","0",5,2,3,4,1,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,2,2,3,1,2,1,5,2,2,7,7,7,1,4,1,2,"Less than 1/2 hour ","Never","Labour",49,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",2.5,1.33333333333333,3,7
"37",39,"1","1","0","0","1",4,"0","incorrect",2,0,"0","1","1","0","0","0","0","0",1,6,2,3,5,4,"","There are no regulatory controls on any type of political advertising during UK elections",3,2,3,5,6,3,2,2,2,2,6,6,6,3,4,2,2,"1 to 2 hours ","Never","I do not identify with any political party",68,"Male","No formal qualifications","White",3.25,3.66666666666667,2,6
"38",40,"0","0","1","0","1",4,"3","incorrect",2,0,"1","0","0","1","0","0","0","0",3,6,5,2,4,1,"","Not sure",6,6,6,7,4,5,4,4,5,6,3,5,7,3,5,3,3,"1/2 hour to 1 hour ","Never","I do not identify with any political party",78,"Male","A-level, or equivalent","White",6.25,4.33333333333333,5,5
"39",41,"0","0","1","1","0",4,"2","correct",1,2,"0","0","0","1","1","0","1","0",3,2,4,1,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",3,6,5,6,5,4,5,1,1,1,4,5,6,3,2,3,3,"Less than 1/2 hour ","2-5 times a day","Labour",50,"Male","A-level, or equivalent","White",5,4.66666666666667,1,5
"40",42,"1","0","1","0","1",2,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",3,4,1,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,6,5,5,3,2,2,6,6,6,7,7,7,1,5,2,2,"1 to 2 hours ","Once a day	","Labour",79,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",5.5,2.33333333333333,6,7
"41",43,"1","1","0","0","1",1,"0","incorrect",2,0,"1","0","0","1","0","0","0","0",5,1,3,4,2,6,"","Not sure",2,2,2,2,4,4,2,2,2,2,6,6,6,1,3,3,1,"Less than 1/2 hour ","Less than once a week","Liberal Democrat",53,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,3.33333333333333,2,6
"42",44,"0","1","0","0","1",3,"1","incorrect",1,1,"0","0","1","0","1","0","0","0",2,4,1,3,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",5,5,5,6,4,4,3,4,5,5,6,5,6,2,4,2,2,"1 to 2 hours ","More than five times a day	","Conservative",69,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5.25,3.66666666666667,4.66666666666667,5.66666666666667
"43",45,"0","1","0","1","0",4,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",4,1,2,5,3,6,"","Not sure",4,4,4,4,4,3,3,1,3,4,4,4,5,2,2,2,2,"None, No time at all ","2-5 times a day","I do not identify with any political party",33,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,3.33333333333333,2.66666666666667,4.33333333333333
"44",46,"1","1","0","1","0",1,"2","correct",4,0,"1","1","1","1","0","0","0","0",2,1,5,4,3,6,"","Not sure",2,2,4,5,1,1,1,1,1,1,7,7,7,3,2,1,1,"None, No time at all ","Once a day	","Scottish National Party (SNP)",39,"Female","A-level, or equivalent","White",3.25,1,1,7
"45",47,"0","0","1","1","0",6,"3","incorrect",4,0,"1","1","1","1","0","0","0","0",2,6,5,4,3,1,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",3,3,4,3,2,4,3,3,3,3,7,7,6,2,5,2,2,NA,"2-5 times a day","Reform UK",80,"Female","A-level, or equivalent","White",3.25,3,3,6.66666666666667
"46",48,"1","1","0","1","0",5,"2","correct",1,0,"0","0","0","1","0","0","0","0",4,3,2,6,1,5,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,5,6,4,5,2,4,4,5,5,6,5,5,2,4,3,3,"1/2 hour to 1 hour ","Never","Labour",53,"Female","Postgraduate (e.g. M.Sc, Ph.D)","Black",4.75,3.66666666666667,4.66666666666667,5.33333333333333
"47",49,"1","1","0","0","1",1,"3","incorrect",3,0,"1","1","1","0","0","0","0","0",5,3,2,1,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",1,1,1,1,1,1,1,1,1,4,7,7,7,1,4,1,1,"1/2 hour to 1 hour ","Once a day	","United Kingdom Independence Party (UKIP)",69,"Male","Other, please specify","Asian",1,1,2,7
"48",50,"0","0","1","1","0",5,"2","correct",2,0,"1","1","0","0","0","0","0","0",1,2,4,5,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,3,3,3,3,2,3,5,5,5,6,6,6,3,3,2,2,"1/2 hour to 1 hour ","2-5 times a day","Conservative",68,"Male","GCSE level, or equivalent","White",3,2.66666666666667,5,6
"49",51,"0","1","0","1","0",2,"3","incorrect",3,0,"1","1","0","1","0","0","0","0",1,3,2,4,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,3,4,5,2,4,2,5,5,6,3,5,5,2,4,2,2,"1/2 hour to 1 hour ","Once a day	","I do not identify with any political party",47,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",4,2.66666666666667,5.33333333333333,4.33333333333333
"50",52,"0","0","1","1","0",1,"Not sure","incorrect",3,0,"1","1","0","1","0","0","0","0",5,2,1,3,4,6,"","Not sure",6,6,6,6,2,4,3,4,5,5,6,6,7,1,5,3,1,"Less than 1/2 hour ","Once a week	","Labour",60,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,3,4.66666666666667,6.33333333333333
"51",53,"0","1","0","0","1",1,"1","incorrect",2,0,"1","0","0","1","0","0","0","0",1,3,4,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,5,2,5,2,5,2,5,6,6,6,6,6,1,5,2,2,"1 to 2 hours ","Once a day	","Green Party",54,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3.5,3,5.66666666666667,6
"52",54,"0","0","1","0","1",4,"Not sure","incorrect",1,0,"1","0","0","0","0","0","0","0",2,1,4,3,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,5,4,5,2,1,3,4,5,4,6,7,7,1,3,1,2,"1/2 hour to 1 hour ","Once every couple of days	","Green Party",64,"Female","GCSE level, or equivalent","White",4.5,2,4.33333333333333,6.66666666666667
"53",55,"1","0","1","0","1",3,"1","incorrect",3,0,"1","1","1","0","0","0","0","0",5,2,3,1,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,6,6,6,3,4,2,5,5,6,3,5,6,1,5,2,2,"1/2 hour to 1 hour ","Once a day	","Labour",30,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",6,3,5.33333333333333,4.66666666666667
"54",56,"1","1","0","1","0",3,"4","incorrect",4,0,"1","1","1","1","0","0","0","0",4,1,2,3,5,6,"","Not sure",3,4,5,3,2,2,1,4,3,4,6,6,6,2,3,1,3,"1/2 hour to 1 hour ","Never","Green Party",31,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Other",3.75,1.66666666666667,3.66666666666667,6
"55",57,"1","1","0","0","1",3,"1","incorrect",2,1,"1","1","0","0","0","1","0","0",1,3,4,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,5,5,5,6,4,4,3,4,4,5,5,5,3,4,3,3,"1/2 hour to 1 hour ","Never","Labour",47,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",4.75,4.66666666666667,3.66666666666667,5
"56",58,"0","0","1","0","1",1,"1","incorrect",1,0,"0","0","0","1","0","0","0","0",2,5,3,1,4,6,"","There are no regulatory controls on any type of political advertising during UK elections",2,3,2,3,1,1,1,1,1,1,7,7,7,1,1,1,1,"None, No time at all ","Once a day	","I do not identify with any political party",40,"Female","GCSE level, or equivalent","White",2.5,1,1,7
"57",59,"1","0","1","0","1",2,"4","incorrect",4,0,"1","1","1","1","0","0","0","0",1,2,5,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,2,5,5,4,3,3,3,5,6,5,5,6,2,4,3,3,"Less than 1/2 hour ","Once a day	","Labour",46,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Black",3.75,3.33333333333333,4.66666666666667,5.33333333333333
"58",60,"1","0","1","0","1",4,"3","incorrect",3,0,"1","1","1","0","0","0","0","0",1,3,4,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",3,4,5,3,3,5,3,2,2,5,5,6,4,2,4,2,4,"1/2 hour to 1 hour ","Once a day	","Labour",80,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",3.75,3.66666666666667,3,5
"59",61,"0","1","0","1","0",2,"0","incorrect",0,0,"0","0","0","0","0","0","0","0",4,6,5,1,2,3,"","There are no regulatory controls on any type of political advertising during UK elections",1,1,2,2,1,1,1,1,1,1,7,7,7,1,1,1,1,"None, No time at all ","Never","Labour",62,"Female","A-level, or equivalent","White",1.5,1,1,7
"60",62,"0","0","1","1","0",2,"0","incorrect",1,0,"1","0","0","0","0","0","0","0",1,4,2,3,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",3,5,5,5,2,4,4,4,5,5,6,6,5,2,4,2,2,"Less than 1/2 hour ","Once a day	","Conservative",61,"Male","GCSE level, or equivalent","White",4.5,3.33333333333333,4.66666666666667,5.66666666666667
"61",63,"0","0","1","0","1",6,"3","incorrect",2,0,"1","0","0","1","0","0","0","0",1,2,4,3,5,6,"","All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government",5,5,5,5,1,2,1,5,5,5,7,7,6,2,5,1,2,"1/2 hour to 1 hour ","Never","Reform UK",57,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,1.33333333333333,5,6.66666666666667
"62",64,"0","1","0","0","1",1,"2","correct",2,0,"0","1","0","1","0","0","0","0",4,2,1,5,3,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",6,6,7,6,1,2,1,2,2,6,7,7,7,1,5,1,1,"Less than 1/2 hour ","Less than once a week","Labour",34,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6.25,1.33333333333333,3.33333333333333,7
"63",65,"0","1","0","0","1",1,"0","incorrect",4,0,"1","1","1","1","0","0","0","0",1,4,3,2,5,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",2,3,2,2,1,2,2,1,2,1,7,7,7,1,2,1,5,"Less than 1/2 hour ","Never","I do not identify with any political party",70,"Female","No formal qualifications","White",2.25,1.66666666666667,1.33333333333333,7
"64",66,"0","1","0","1","0",2,"2","correct",2,0,"1","1","0","0","0","0","0","0",1,2,5,3,4,6,"","All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media",4,4,4,4,3,4,4,4,5,4,5,5,5,2,3,2,1,"1 to 2 hours ","Less than once a week","I do not identify with any political party",45,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",4,3.66666666666667,4.33333333333333,5
"65",67,"0","1","0","1","0",5,"4","incorrect",3,0,"1","1","0","1","0","0","0","0",1,2,4,3,5,6,"","Not sure",6,6,6,6,7,1,1,6,5,6,7,7,7,1,5,1,2,"1 to 2 hours ","Never","Reform UK",62,"Male","GCSE level, or equivalent","White",6,3,5.66666666666667,7
