"id","Advert.1","Advert.2","Advert.3","Advert.4","Training.condition","advert","version","PK_advert","credibility","informed","agree_value","recall_num","recall_correct","CSC","BBA","SFI","CBB","FF","TPM","VFP","AT","political_interest","reg_know","SM_use","SM_frequency_1","partyID","age","gender","education","Ethnicity.simplified","PK1_value","PK2_value","PK3_value","PK4_value","PG_value","informed2_value","informed3_value","informed4_value","trustworthy_value","accurate_value","believable_value","factual_value","PK","recall_name","useful_rank_1"
3,"0","1","0","1","1","advert.3","0",6,5,6,5,"Not sure","incorrect","1","1","0","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","2-5 times a day","Liberal Democrat",62,"Female","A-level, or equivalent","White",6,7,6,6,6,6,6,6,5,5,5,5,6.25,"Common Sense Collective,Breaking Barriers Alliance",2
3,"0","1","0","1","1","advert.4","1",4,3.5,6,4,"Not sure","incorrect","1","1","0","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","2-5 times a day","Liberal Democrat",62,"Female","A-level, or equivalent","White",4,7,4,6,6,6,6,6,4,4,4,2,5.25,"Common Sense Collective,Breaking Barriers Alliance",2
4,"1","0","0","1","1","advert.1","1",5.5,3.5,5.66666666666667,4,"2","correct","1","1","0","1","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",59,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,7,5,6,6,6,5,6,3,4,5,2,6,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",1
4,"1","0","0","1","1","advert.2","0",3.5,2.25,2,4,"2","correct","1","1","0","1","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",59,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3,6,4,5,6,2,2,2,2,3,3,1,4.5,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",1
4,"1","0","0","1","1","advert.3","0",2.5,2.75,1,3,"2","correct","1","1","0","1","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",59,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,6,3,4,6,1,1,1,2,3,4,2,3.75,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",1
4,"1","0","0","1","1","advert.4","1",4.5,3.75,6,5,"2","correct","1","1","0","1","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",59,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,6,4,5,6,6,6,6,4,4,5,2,5,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",1
5,"1","0","0","1","1","advert.1","1",5.5,3.25,2.33333333333333,4,"0","incorrect","0","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","Less than once a week","I do not identify with any political party",73,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,5,5,6,4,2,3,2,3,4,4,2,5.5,"Campaign for a better Britain",3
5,"1","0","0","1","1","advert.2","0",5.5,3.75,5,4,"0","incorrect","0","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","Less than once a week","I do not identify with any political party",73,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,7,5,7,7,5,4,6,3,4,5,3,6.25,"Campaign for a better Britain",3
5,"1","0","0","1","1","advert.3","0",5,4,5.33333333333333,5,"0","incorrect","0","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","Less than once a week","I do not identify with any political party",73,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,6,5,7,7,6,4,6,4,5,5,2,5.75,"Campaign for a better Britain",3
5,"1","0","0","1","1","advert.4","1",2,4.75,6,4,"0","incorrect","0","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","Less than once a week","I do not identify with any political party",73,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,6,2,6,7,6,6,6,4,5,5,5,4,"Campaign for a better Britain",3
6,"0","1","0","1","0","advert.1","0",4,3.5,3,4,"2","correct","1","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",70,"Female","GCSE level, or equivalent","White",4,6,4,6,5,3,3,3,3,4,4,3,5,"Common Sense Collective,Campaign for a better Britain",1
6,"0","1","0","1","0","advert.2","1",5.5,3.75,3.66666666666667,4,"2","correct","1","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",70,"Female","GCSE level, or equivalent","White",6,6,5,6,6,4,3,4,4,4,4,3,5.75,"Common Sense Collective,Campaign for a better Britain",1
6,"0","1","0","1","0","advert.3","0",4,6.25,5,6,"2","correct","1","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",70,"Female","GCSE level, or equivalent","White",4,6,4,6,5,5,5,5,6,6,7,6,5,"Common Sense Collective,Campaign for a better Britain",1
6,"0","1","0","1","0","advert.4","1",2,6,6,5,"2","correct","1","0","0","1","0","0","0","0",2,"Not sure","Less than 1/2 hour ","2-5 times a day","I do not identify with any political party",70,"Female","GCSE level, or equivalent","White",2,6,2,6,6,6,6,6,6,6,6,6,4,"Common Sense Collective,Campaign for a better Britain",1
7,"1","0","1","0","1","advert.1","1",5,4.25,2.33333333333333,5,"1","incorrect","1","0","1","0","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Labour",25,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,6,5,6,6,2,2,3,4,5,5,3,5.5,"Common Sense Collective,Speak Freely Inc.",1
7,"1","0","1","0","1","advert.2","0",2,3.25,2.33333333333333,5,"1","incorrect","1","0","1","0","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Labour",25,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,6,2,5,5,3,2,2,2,4,5,2,3.75,"Common Sense Collective,Speak Freely Inc.",1
7,"1","0","1","0","1","advert.3","1",5,5,5,6,"1","incorrect","1","0","1","0","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Labour",25,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,4,5,5,4,5,5,5,4,5,6,5,4.75,"Common Sense Collective,Speak Freely Inc.",1
7,"1","0","1","0","1","advert.4","0",1.5,2,2,4,"1","incorrect","1","0","1","0","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Labour",25,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",1,3,2,4,3,2,2,2,2,2,3,1,2.5,"Common Sense Collective,Speak Freely Inc.",1
8,"0","1","0","1","1","advert.1","0",5,4,4.66666666666667,4,"Not sure","incorrect","1","1","1","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","More than five times a day	","Labour",53,"Female","A-level, or equivalent","White",5,5,5,2,5,5,4,5,4,4,5,3,4.25,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",2
8,"0","1","0","1","1","advert.2","1",3,4,3.33333333333333,4,"Not sure","incorrect","1","1","1","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","More than five times a day	","Labour",53,"Female","A-level, or equivalent","White",3,5,3,4,5,3,3,4,4,4,5,3,3.75,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",2
8,"0","1","0","1","1","advert.3","0",4,4.5,3.66666666666667,6,"Not sure","incorrect","1","1","1","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","More than five times a day	","Labour",53,"Female","A-level, or equivalent","White",4,6,4,6,5,4,3,4,4,4,5,5,5,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",2
8,"0","1","0","1","1","advert.4","1",2.5,3.75,3.66666666666667,5,"Not sure","incorrect","1","1","1","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","More than five times a day	","Labour",53,"Female","A-level, or equivalent","White",2,5,3,4,4,4,3,4,4,4,5,2,3.5,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",2
9,"1","0","1","0","1","advert.1","1",1.5,4,2.66666666666667,5,"2","correct","1","0","0","1","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","2-5 times a day","Conservative",59,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,7,1,7,7,3,3,2,4,4,4,4,4.25,"Common Sense Collective,Campaign for a better Britain",5
9,"1","0","1","0","1","advert.2","0",1,3,2,1,"2","correct","1","0","0","1","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","2-5 times a day","Conservative",59,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",1,7,1,7,7,2,2,2,1,2,2,7,4,"Common Sense Collective,Campaign for a better Britain",5
9,"1","0","1","0","1","advert.3","1",1,4.5,7,5,"2","correct","1","0","0","1","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","2-5 times a day","Conservative",59,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",1,7,1,7,6,7,7,7,5,5,5,3,4,"Common Sense Collective,Campaign for a better Britain",5
9,"1","0","1","0","1","advert.4","0",1,5,4.33333333333333,5,"2","correct","1","0","0","1","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","2-5 times a day","Conservative",59,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",1,7,1,6,7,5,3,5,5,5,5,5,3.75,"Common Sense Collective,Campaign for a better Britain",5
10,"0","1","1","0","1","advert.1","0",3.5,2.75,3.33333333333333,3,"2","correct","0","0","0","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a week	","Conservative",51,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",4,6,3,6,6,4,2,4,3,3,3,2,4.75,"Campaign for a better Britain",3
10,"0","1","1","0","1","advert.2","1",3,2,4,3,"2","correct","0","0","0","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a week	","Conservative",51,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",3,6,3,6,6,4,3,5,2,2,2,2,4.5,"Campaign for a better Britain",3
10,"0","1","1","0","1","advert.3","1",2.5,3.75,6,3,"2","correct","0","0","0","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a week	","Conservative",51,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",3,6,2,5,5,6,6,6,4,4,4,3,4,"Campaign for a better Britain",3
10,"0","1","1","0","1","advert.4","0",2.5,3.5,3.33333333333333,3,"2","correct","0","0","0","1","0","0","0","0",3,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a week	","Conservative",51,"Male","Postgraduate (e.g. M.Sc, Ph.D)","White",2,5,3,5,4,4,3,3,4,4,3,3,3.75,"Campaign for a better Britain",3
11,"0","1","1","0","1","advert.1","0",6,5.75,5.66666666666667,4,"2","correct","0","1","0","1","0","0","0","0",2,"There are no regulatory controls on any type of political advertising during UK elections","Less than 1/2 hour ","More than five times a day	","I do not identify with any political party",50,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,7,7,7,7,4,7,6,5,5,6,7,6.5,"Breaking Barriers Alliance,Campaign for a better Britain",4
11,"0","1","1","0","1","advert.2","1",4,4,6.33333333333333,2,"2","correct","0","1","0","1","0","0","0","0",2,"There are no regulatory controls on any type of political advertising during UK elections","Less than 1/2 hour ","More than five times a day	","I do not identify with any political party",50,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,7,3,6,6,6,7,6,3,4,4,5,5.25,"Breaking Barriers Alliance,Campaign for a better Britain",4
11,"0","1","1","0","1","advert.3","1",4.5,7,5.33333333333333,7,"2","correct","0","1","0","1","0","0","0","0",2,"There are no regulatory controls on any type of political advertising during UK elections","Less than 1/2 hour ","More than five times a day	","I do not identify with any political party",50,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,7,3,7,5,6,4,6,7,7,7,7,5.75,"Breaking Barriers Alliance,Campaign for a better Britain",4
11,"0","1","1","0","1","advert.4","0",5.5,4.25,4.33333333333333,3,"2","correct","0","1","0","1","0","0","0","0",2,"There are no regulatory controls on any type of political advertising during UK elections","Less than 1/2 hour ","More than five times a day	","I do not identify with any political party",50,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,7,6,6,7,5,3,5,5,4,3,5,6,"Breaking Barriers Alliance,Campaign for a better Britain",4
12,"1","0","1","0","1","advert.1","1",6,2.5,4.66666666666667,3,"3","incorrect","1","0","1","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",65,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",6,6,6,7,7,6,2,6,2,3,2,3,6.25,"Common Sense Collective,Speak Freely Inc.",3
12,"1","0","1","0","1","advert.2","0",5,2.5,2.33333333333333,3,"3","incorrect","1","0","1","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",65,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,7,5,7,6,2,2,3,1,2,2,5,6,"Common Sense Collective,Speak Freely Inc.",3
12,"1","0","1","0","1","advert.3","1",3.5,5.75,7,7,"3","incorrect","1","0","1","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",65,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",3,6,4,6,5,7,7,7,6,5,6,6,4.75,"Common Sense Collective,Speak Freely Inc.",3
12,"1","0","1","0","1","advert.4","0",4,3.25,6,4,"3","incorrect","1","0","1","0","0","0","0","0",5,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","2-5 times a day","Labour",65,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",5,6,3,6,6,6,6,6,4,3,4,2,5,"Common Sense Collective,Speak Freely Inc.",3
13,"0","1","0","1","1","advert.1","0",5,4,4,5,"1","incorrect","0","0","1","0","0","0","0","0",4,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Green Party",30,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",5,6,5,7,6,4,3,5,4,5,5,2,5.75,"Speak Freely Inc.",2
13,"0","1","0","1","1","advert.2","1",4,3.75,4.33333333333333,5,"1","incorrect","0","0","1","0","0","0","0","0",4,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Green Party",30,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",4,5,4,5,6,4,4,5,4,4,5,2,4.5,"Speak Freely Inc.",2
13,"0","1","0","1","1","advert.3","0",5.5,5.25,3.33333333333333,6,"1","incorrect","0","0","1","0","0","0","0","0",4,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Green Party",30,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",6,6,5,5,6,3,3,4,5,4,6,6,5.5,"Speak Freely Inc.",2
13,"0","1","0","1","1","advert.4","1",3,3.25,3.66666666666667,4,"1","incorrect","0","0","1","0","0","0","0","0",4,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","Less than 1/2 hour ","Once a day	","Green Party",30,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",3,5,3,5,6,4,3,4,4,4,4,1,4,"Speak Freely Inc.",2
14,"0","1","1","0","0","advert.1","0",2.5,5.25,4.33333333333333,6,"0","incorrect","1","0","0","0","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","More than five times a day	","Labour",64,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",3,6,2,7,7,4,4,5,4,5,6,6,4.5,"Common Sense Collective",4
14,"0","1","1","0","0","advert.2","1",6.5,5.5,4.33333333333333,6,"0","incorrect","1","0","0","0","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","More than five times a day	","Labour",64,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",7,7,6,7,7,4,4,5,5,5,6,6,6.75,"Common Sense Collective",4
14,"0","1","1","0","0","advert.3","1",2,6.25,5.33333333333333,7,"0","incorrect","1","0","0","0","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","More than five times a day	","Labour",64,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",2,6,2,6,6,5,5,6,6,6,7,6,4,"Common Sense Collective",4
14,"0","1","1","0","0","advert.4","0",2,5.75,6,6,"0","incorrect","1","0","0","0","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1/2 hour to 1 hour ","More than five times a day	","Labour",64,"Female","Postgraduate (e.g. M.Sc, Ph.D)","White",2,6,2,6,6,6,6,6,5,5,6,7,4,"Common Sense Collective",4
15,"1","0","1","0","0","advert.1","1",4.5,4,6.33333333333333,5,"2","correct","0","1","1","0","0","0","0","0",4,"Not sure","1/2 hour to 1 hour ","2-5 times a day","Green Party",60,"Female","A-level, or equivalent","White",5,6,4,6,6,6,7,6,4,4,5,3,5.25,"Breaking Barriers Alliance,Speak Freely Inc.",2
15,"1","0","1","0","0","advert.2","0",4.5,4.5,4.66666666666667,5,"2","correct","0","1","1","0","0","0","0","0",4,"Not sure","1/2 hour to 1 hour ","2-5 times a day","Green Party",60,"Female","A-level, or equivalent","White",5,6,4,6,6,5,4,5,4,5,5,4,5.25,"Breaking Barriers Alliance,Speak Freely Inc.",2
15,"1","0","1","0","0","advert.3","1",5.5,4.5,5.66666666666667,5,"2","correct","0","1","1","0","0","0","0","0",4,"Not sure","1/2 hour to 1 hour ","2-5 times a day","Green Party",60,"Female","A-level, or equivalent","White",6,6,5,6,6,5,6,6,4,5,5,4,5.75,"Breaking Barriers Alliance,Speak Freely Inc.",2
15,"1","0","1","0","0","advert.4","0",3,4.75,6,6,"2","correct","0","1","1","0","0","0","0","0",4,"Not sure","1/2 hour to 1 hour ","2-5 times a day","Green Party",60,"Female","A-level, or equivalent","White",3,6,3,6,6,6,6,6,4,5,5,5,4.5,"Breaking Barriers Alliance,Speak Freely Inc.",2
16,"0","1","1","0","1","advert.1","0",6,3,6,2,"3","incorrect","1","1","0","1","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","Once a week	","Green Party",55,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",6,6,6,6,6,6,6,6,3,3,3,3,6,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",3
16,"0","1","1","0","1","advert.2","1",2,4.75,5,5,"3","incorrect","1","1","0","1","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","Once a week	","Green Party",55,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",2,6,2,6,5,6,6,3,4,5,5,5,4,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",3
16,"0","1","1","0","1","advert.3","1",3,4.25,4.33333333333333,6,"3","incorrect","1","1","0","1","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","Once a week	","Green Party",55,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",3,6,3,6,4,5,3,5,4,4,4,5,4.5,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",3
16,"0","1","1","0","1","advert.4","0",3.5,3.75,3.33333333333333,4,"3","incorrect","1","1","0","1","0","0","0","0",2,"All political advertising is regulated by rules set by the UK government, but there is one set of rules for advertising on television and radio and a different set of rules for advertising on the internet and social media","1/2 hour to 1 hour ","Once a week	","Green Party",55,"Male","Undergraduate University (e.g. BA, B.Sc, B.Ed)","Asian",3,4,4,5,4,5,2,3,4,4,3,4,4,"Common Sense Collective,Breaking Barriers Alliance,Campaign for a better Britain",3
17,"0","1","0","1","1","advert.1","0",2,5,2,6,"2","correct","1","1","1","1","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1 to 2 hours ","Never","Labour",43,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,6,2,7,6,2,2,2,5,6,6,3,4.25,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",3
17,"0","1","0","1","1","advert.2","1",2,4.25,4,6,"2","correct","1","1","1","1","0","0","0","0",4,"All political advertising (whether on television, radio, in newspapers or the internet) is subject to the same rules set by the UK government","1 to 2 hours ","Never","Labour",43,"Female","Undergraduate University (e.g. BA, B.Sc, B.Ed)","White",2,6,2,6,6,6,3,3,4,5,5,3,4,"Common Sense Collective,Breaking Barriers Alliance,Speak Freely Inc.,Campaign for a better Britain",3
